,WC1,WC2,WC3,WC4,WC5,WC6,WC7,WC8,WC9,,,,,
G1,0.4875,0.45625,0.425,0.36875,0.45,0.41875,0.35,0.38125,0.3125,,,,,
G2,0.375,0.4625,0.4,0.34375,0.41875,0.41875,0.3875,0.4,0.46875,,,,,
G3,0.4,0.4,0.4625,0.3625,0.45625,0.4375,0.35625,0.375,0.4,,,,,
G4,0.40625,0.4125,0.34375,0.4875,0.3875,0.4125,0.4375,0.4125,0.39375,,,,,
G5,0.41875,0.4,0.4875,0.375,0.4,0.4375,0.4125,0.41875,0.40625,,,,,
G6,0.375,0.375,0.34375,0.44375,0.43125,0.45625,0.39375,0.40625,0.4,,,,,
G7,0.38125,0.35625,0.40625,0.3375,0.4,0.325,0.41875,0.4,0.425,,,40.46875,80.88057,88.16857
G8,0.39375,0.38125,0.325,0.425,0.41875,0.36875,0.4375,0.40625,0.3625,,,40.54688,94.82246,97.43327
,,,,,,,,,,,,39.92188,97.07283,97.78952
,40.46875,40.546875,39.921875,39.296875,42.03125,40.9375,39.921875,40,39.609375,,,39.29688,92.678,95.17482
,,,,,,,,,,,,42.03125,92.68696,94.55919
,,,,,,,,,,,,40.9375,94.62287,96.16397
,,,,,,,,,,,,39.92188,81.75859,88.95092
,,,,,,,,,,,,40,81.06946,87.07169
,,,,,,,,,,,,39.60938,95.4232,96.30221
