Dimension 1,Dimension 2,Dataset
0.87262416,0.3248766,Anomaly
0.75953,0.07408906,Anomaly
0.5399632,0.86399853,Anomaly
0.6942738,0.060868092,Anomaly
0.45388976,0.8928718,Anomaly
0.46259567,0.8157448,Anomaly
0.81526214,0.8307546,Anomaly
0.77418983,0.031330787,Anomaly
0.06442893,0.49487102,Anomaly
0.1878047,0.6715884,Anomaly
0.24921665,0.25205585,Anomaly
0.51949733,0.6596944,Anomaly
0.6879466,0.6253309,Anomaly
0.27303782,0.54591274,Anomaly
0.1651759,0.36255708,Anomaly
0.28903154,0.6486246,Anomaly
0.20978878,0.44912434,Anomaly
0.12519279,0.521365,Anomaly
0.40034586,0.63653773,Anomaly
0.26701978,0.46081224,Anomaly
0.22677131,0.45862308,Anomaly
0.5091499,0.69317484,Anomaly
0.6643291,0.8795842,Anomaly
0.3362199,0.5135554,Anomaly
0.73590237,0.42342857,Anomaly
0.4852776,0.65454894,Anomaly
0.55239886,1.0,Anomaly
0.8518384,0.15266328,Anomaly
0.7901226,0.27127942,Anomaly
0.5517928,0.2162029,Anomaly
0.737617,0.09292797,Anomaly
0.8219792,0.6068383,Anomaly
0.40632433,0.047329634,Anomaly
0.011889194,0.43658742,Anomaly
0.065447204,0.4623782,Anomaly
0.28782755,0.7629689,Anomaly
0.43735388,0.01159559,Anomaly
0.061461914,0.32530212,Anomaly
0.15741767,0.64670473,Anomaly
0.1315432,0.43599087,Anomaly
0.84700894,0.20835452,Anomaly
0.85801715,0.8587619,Anomaly
0.9757373,0.30841476,Anomaly
0.7490731,0.47117278,Anomaly
0.8290963,0.6483104,Anomaly
0.82139015,0.74429125,Anomaly
0.68103355,0.8737207,Anomaly
0.92619133,0.1313689,Anomaly
0.7343232,0.7602841,Anomaly
0.3126037,0.77345484,Anomaly
0.825725,0.10204979,Anomaly
0.88515395,0.23618013,Anomaly
0.8775793,0.85049224,Anomaly
0.83896506,0.057072267,Anomaly
0.87148726,0.6383625,Anomaly
0.88053685,0.35219964,Anomaly
0.8326415,0.7097454,Anomaly
0.8567164,0.10727831,Anomaly
0.8304005,0.32225782,Anomaly
0.7756555,0.8012048,Anomaly
0.91511565,0.10713054,Anomaly
0.73475915,0.6564222,Anomaly
0.7765243,0.61147255,Anomaly
0.47632912,0.8835973,Anomaly
0.52024096,0.7418483,Anomaly
0.6891691,0.010835883,Anomaly
0.66688436,0.06528014,Anomaly
0.6723303,0.7196822,Anomaly
0.5754565,0.15481736,Anomaly
0.7818688,0.0,Anomaly
0.7822743,0.7718251,Anomaly
0.66085774,0.03624684,Anomaly
0.53748274,0.742836,Anomaly
0.3764024,0.6228545,Anomaly
0.7365864,0.19245987,Anomaly
0.69459784,0.67782897,Anomaly
0.87806255,0.28218767,Anomaly
0.8542241,0.4709028,Anomaly
0.4640272,0.63554454,Anomaly
0.80171514,0.11048245,Anomaly
0.32948524,0.8046107,Anomaly
0.07841889,0.12657343,Anomaly
0.8045042,0.9343812,Anomaly
0.526868,0.805465,Anomaly
0.25822917,0.75902146,Anomaly
0.05196605,0.114220016,Anomaly
0.50521207,0.82835644,Anomaly
0.077725634,0.0887655,Anomaly
0.5510226,0.9665798,Anomaly
0.49535856,0.7814586,Anomaly
0.79919404,0.8997053,Anomaly
0.041048594,0.14345045,Anomaly
0.8666626,0.18518202,Anomaly
0.5107662,0.88509715,Anomaly
0.012262317,0.28113288,Anomaly
0.51887155,0.93484527,Anomaly
0.118591934,0.4783835,Anomaly
0.31030416,0.72817487,Anomaly
0.14501917,0.5991812,Anomaly
0.63105524,0.071089804,Anomaly
0.36231482,0.5492669,Anomaly
0.72826725,0.73162115,Anomaly
0.09855002,0.49572933,Anomaly
0.25918758,0.52417403,Anomaly
0.16027111,0.47461796,Anomaly
0.19072263,0.47969383,Anomaly
0.2391153,0.56033564,Anomaly
0.39679867,0.4705371,Anomaly
0.46037614,0.49743828,Anomaly
0.89117056,0.6711821,Anomaly
0.21334486,0.5128237,Anomaly
0.47074774,0.56131953,Anomaly
0.39120758,0.07605436,Anomaly
0.044948284,0.23299783,Anomaly
0.43192646,0.28428614,Anomaly
0.13711524,0.62652946,Anomaly
0.40383652,0.17972814,Anomaly
0.22166198,0.2509403,Anomaly
0.07264691,0.38103268,Anomaly
0.10546274,0.43405032,Anomaly
0.4696553,0.53183573,Anomaly
0.42708415,0.6315898,Anomaly
0.3000677,0.5177145,Anomaly
0.7581217,0.18642922,Anomaly
0.4184495,0.47389024,Anomaly
0.29067606,0.4818166,Anomaly
0.28110743,0.41207105,Anomaly
0.66248655,0.7506283,Anomaly
0.09283238,0.39520875,Anomaly
0.17084152,0.33371714,Anomaly
0.0,0.41490608,Anomaly
0.05348953,0.39722785,Anomaly
0.47501457,0.7654129,Anomaly
0.4963697,0.57701206,Anomaly
0.38985217,0.59930193,Anomaly
0.20745352,0.22961994,Anomaly
0.103921324,0.18576989,Anomaly
0.42772022,0.091629185,Anomaly
0.048412427,0.26625466,Anomaly
0.721618,0.6901809,Anomaly
0.08424145,0.2794649,Anomaly
0.4345301,0.05805378,Anomaly
