Dimension 1,Dimension 2,Dataset
0.54992825,0.44779083,Anomaly
0.14929923,0.36532184,Anomaly
0.7029017,0.5001261,Anomaly
0.80397904,0.42856,Anomaly
0.70024705,0.4223387,Anomaly
0.7428671,0.5276203,Anomaly
0.2416285,0.04215965,Anomaly
0.85184103,0.5745214,Anomaly
0.41394877,0.9326377,Anomaly
0.48227435,0.6102755,Anomaly
0.47609058,0.678702,Anomaly
0.48295727,0.9230998,Anomaly
0.3122998,0.024531275,Anomaly
0.53602576,1,Anomaly
0.46008816,0.841768,Anomaly
0.5312841,0.88520104,Anomaly
0.5545471,0.836474,Anomaly
0.38450724,0.9191943,Anomaly
0.30789328,0.009679977,Anomaly
0.5003591,0.9525831,Anomaly
0.40662113,0.6795481,Anomaly
0.4745279,0.86090785,Anomaly
0.54167354,0.9717269,Anomaly
0.4451178,0.88207084,Anomaly
0.5110157,0.57422596,Anomaly
0.8826838,0.6565602,Anomaly
0.21079572,0.018134452,Anomaly
0.9730782,0.607667,Anomaly
0.95590633,0.63606626,Anomaly
0.93028814,0.6275186,Anomaly
0.9317271,0.56217444,Anomaly
0.47600353,0.5530672,Anomaly
0.44894475,0.9477997,Anomaly
0.51792294,0.90938175,Anomaly
0.5297607,0.8505106,Anomaly
0.6199887,0.97044563,Anomaly
0.543134,0.9465687,Anomaly
0.5652034,0.8839998,Anomaly
0.36755192,0.07393534,Anomaly
0.5140033,0.8183094,Anomaly
0.9659717,0.57757443,Anomaly
0.94521004,0.5997087,Anomaly
0.84618056,0.59548545,Anomaly
0.26670784,0.058616105,Anomaly
0.56192535,0.55802363,Anomaly
0.90566474,0.60603124,Anomaly
0.36103773,0.6167771,Anomaly
0.36847332,0.6506323,Anomaly
0.36173955,0.88577545,Anomaly
0.36022833,0.8359433,Anomaly
0.33857673,0.86084956,Anomaly
0.7351245,0.7536788,Anomaly
0.7577722,0.7224283,Anomaly
0.401335,0.8406182,Anomaly
0.13997947,0.06883864,Anomaly
0.7408716,0.70364213,Anomaly
0.45889845,0.81504744,Anomaly
0.8346409,0.48787045,Anomaly
0.8862465,0.58433443,Anomaly
0.33781424,0.6138056,Anomaly
0.46853,0.5323751,Anomaly
0.80854464,0.4666998,Anomaly
0.84022444,0.6447658,Anomaly
0.27313927,0.07386214,Anomaly
0.38043615,0.8015137,Anomaly
0.043864224,0.10703778,Anomaly
0.484549,0.27058762,Anomaly
